DateTime;Hinta
03/12/2022 0.00;28,47
03/12/2022 1.00;29,34
03/12/2022 2.00;28,48
03/12/2022 3.00;24,87
03/12/2022 4.00;24,29
03/12/2022 5.00;25,32
03/12/2022 6.00;31,83
03/12/2022 7.00;30,13
03/12/2022 8.00;33
03/12/2022 9.00;34,1
03/12/2022 10.00;33
03/12/2022 11.00;36,29
03/12/2022 12.00;36,3
03/12/2022 13.00;36,3
03/12/2022 14.00;37,01
03/12/2022 15.00;42,79
03/12/2022 16.00;43,91
03/12/2022 17.00;49,5
03/12/2022 18.00;43,91
03/12/2022 19.00;44,95
03/12/2022 20.00;39,64
03/12/2022 21.00;32,56
03/12/2022 22.00;42,21
03/12/2022 23.00;31,9
04/12/2022 0.00;26,54
04/12/2022 1.00;27,49
04/12/2022 2.00;28,13
04/12/2022 3.00;27,43
04/12/2022 4.00;25,87
04/12/2022 5.00;32,97
04/12/2022 6.00;33
04/12/2022 7.00;29,52
04/12/2022 8.00;26,95
04/12/2022 9.00;33
04/12/2022 10.00;38,5
04/12/2022 11.00;34,1
04/12/2022 12.00;35,2
04/12/2022 13.00;33,57
04/12/2022 14.00;36,29
04/12/2022 15.00;36,3
04/12/2022 16.00;37,89
04/12/2022 17.00;39,76
04/12/2022 18.00;39,6
04/12/2022 19.00;39,6
04/12/2022 20.00;37,4
04/12/2022 21.00;34,15
04/12/2022 22.00;39,6
04/12/2022 23.00;33
05/12/2022 0.00;26,42
05/12/2022 1.00;22,57
05/12/2022 2.00;21,03
05/12/2022 3.00;19,8
05/12/2022 4.00;19,51
05/12/2022 5.00;18
05/12/2022 6.00;27,19
05/12/2022 7.00;33,36
05/12/2022 8.00;32,68
05/12/2022 9.00;31,75
05/12/2022 10.00;33
05/12/2022 11.00;34,43
05/12/2022 12.00;36,18
05/12/2022 13.00;35,61
05/12/2022 14.00;35,2
05/12/2022 15.00;36,95
05/12/2022 16.00;45,11
05/12/2022 17.00;44,01
05/12/2022 18.00;42,46
05/12/2022 19.00;43,55
05/12/2022 20.00;36,3
05/12/2022 21.00;30,59
05/12/2022 22.00;33,32
05/12/2022 23.00;31,72
06/12/2022 0.00;28,82
06/12/2022 1.00;10,78
06/12/2022 2.00;10,03
06/12/2022 3.00;9,79
06/12/2022 4.00;10
06/12/2022 5.00;10,94
06/12/2022 6.00;11,46
06/12/2022 7.00;11,72
06/12/2022 8.00;15,63
06/12/2022 9.00;21,47
06/12/2022 10.00;26,38
06/12/2022 11.00;30,8
06/12/2022 12.00;31,56
06/12/2022 13.00;29,52
06/12/2022 14.00;31,58
06/12/2022 15.00;35,2
06/12/2022 16.00;44
06/12/2022 17.00;43,99
06/12/2022 18.00;45,11
06/12/2022 19.00;44
06/12/2022 20.00;38,81
06/12/2022 21.00;33,27
06/12/2022 22.00;35,09
06/12/2022 23.00;33
07/12/2022 0.00;29,39
07/12/2022 1.00;29,1
07/12/2022 2.00;25,93
07/12/2022 3.00;22,43
07/12/2022 4.00;22
07/12/2022 5.00;25,32
07/12/2022 6.00;28,6
07/12/2022 7.00;31,82
07/12/2022 8.00;41,79
07/12/2022 9.00;44,56
07/12/2022 10.00;43,37
07/12/2022 11.00;41,63
07/12/2022 12.00;39,11
07/12/2022 13.00;41,8
07/12/2022 14.00;37,82
07/12/2022 15.00;44,89
07/12/2022 16.00;48,04
07/12/2022 17.00;49,95
07/12/2022 18.00;46,12
07/12/2022 19.00;44
07/12/2022 20.00;42,72
07/12/2022 21.00;44,97
07/12/2022 22.00;35,99
07/12/2022 23.00;32,29
08/12/2022 0.00;29,97
08/12/2022 1.00;32,53
08/12/2022 2.00;30,89
08/12/2022 3.00;29,66
08/12/2022 4.00;29,69
08/12/2022 5.00;30,3
08/12/2022 6.00;32,98
08/12/2022 7.00;36,13
08/12/2022 8.00;44,7
08/12/2022 9.00;43,99
08/12/2022 10.00;38,5
08/12/2022 11.00;38,11
08/12/2022 12.00;49,08
08/12/2022 13.00;49,33
08/12/2022 14.00;49,31
08/12/2022 15.00;46,12
08/12/2022 16.00;42,68
08/12/2022 17.00;43,2
08/12/2022 18.00;43,99
08/12/2022 19.00;50,52
08/12/2022 20.00;49,5
08/12/2022 21.00;43,01
08/12/2022 22.00;38,82
08/12/2022 23.00;35,25
09/12/2022 0.00;31,49
09/12/2022 1.00;35,86
09/12/2022 2.00;32,9
09/12/2022 3.00;32,23
09/12/2022 4.00;31,82
09/12/2022 5.00;32,41
09/12/2022 6.00;34,16
09/12/2022 7.00;39,66
09/12/2022 8.00;50,09
09/12/2022 9.00;52,17
09/12/2022 10.00;52,22
09/12/2022 11.00;51,85
09/12/2022 12.00;53,26
09/12/2022 13.00;52,92
09/12/2022 14.00;51,7
09/12/2022 15.00;52,41
09/12/2022 16.00;52,13
09/12/2022 17.00;50,98
09/12/2022 18.00;55,87
09/12/2022 19.00;52,08
09/12/2022 20.00;49,67
09/12/2022 21.00;48,4
09/12/2022 22.00;41,36
09/12/2022 23.00;36,29
